ticker,month,monthly_return_percentage
CLEO.JK,2023-01,-12.075471698113208
CLEO.JK,2023-02,2.1645021645021645
CLEO.JK,2023-03,0.425531914893617
CLEO.JK,2023-04,7.446808510638298
CLEO.JK,2023-05,-2.8301886792452833
CLEO.JK,2023-06,9.00900900900901
CLEO.JK,2023-07,10.92436974789916
CLEO.JK,2023-08,7.6923076923076925
CLEO.JK,2023-09,-2.1739130434782608
CLEO.JK,2023-10,-5.88235294117647
CLEO.JK,2023-11,2.34375
CLEO.JK,2023-12,9.230769230769232
LPLI.JK,2023-01,0.0
LPLI.JK,2023-02,-7.142857142857142
LPLI.JK,2023-03,3.90625
LPLI.JK,2023-04,-3.2
LPLI.JK,2023-05,-2.4
LPLI.JK,2023-06,2.4390243902439024
LPLI.JK,2023-07,17.599999999999998
LPLI.JK,2023-08,-9.923664122137405
LPLI.JK,2023-09,-1.7094017094017095
LPLI.JK,2023-10,-0.8695652173913043
LPLI.JK,2023-11,5.217391304347826
LPLI.JK,2023-12,-4.098360655737705
INOV.JK,2023-01,3.937007874015748
INOV.JK,2023-02,-2.2900763358778624
INOV.JK,2023-03,-7.6923076923076925
INOV.JK,2023-04,-1.6260162601626018
INOV.JK,2023-05,8.0
INOV.JK,2023-06,0.0
INOV.JK,2023-07,2.1739130434782608
INOV.JK,2023-08,7.142857142857142
INOV.JK,2023-09,19.333333333333332
INOV.JK,2023-10,2.941176470588235
INOV.JK,2023-11,2.976190476190476
INOV.JK,2023-12,-14.444444444444443
LUCK.JK,2023-01,-10.236220472440944
LUCK.JK,2023-02,6.1946902654867255
LUCK.JK,2023-03,-14.40677966101695
LUCK.JK,2023-04,-1.0
LUCK.JK,2023-05,-5.154639175257731
LUCK.JK,2023-06,-1.0869565217391304
LUCK.JK,2023-07,0.0
LUCK.JK,2023-08,-1.1111111111111112
LUCK.JK,2023-09,-7.954545454545454
LUCK.JK,2023-10,3.6585365853658534
LUCK.JK,2023-11,-2.3255813953488373
LUCK.JK,2023-12,-14.457831325301203
AMAG.JK,2023-01,1.098901098901099
AMAG.JK,2023-02,0.0
AMAG.JK,2023-03,-1.0471204188481675
AMAG.JK,2023-04,0.5291005291005291
AMAG.JK,2023-05,-1.0582010582010581
AMAG.JK,2023-06,-2.1621621621621623
AMAG.JK,2023-07,-4.972375690607735
AMAG.JK,2023-08,0.5882352941176471
AMAG.JK,2023-09,0.591715976331361
AMAG.JK,2023-10,-1.1904761904761905
AMAG.JK,2023-11,-7.878787878787878
AMAG.JK,2023-12,-4.605263157894736
WOOD.JK,2023-01,-1.098901098901099
WOOD.JK,2023-02,11.666666666666666
WOOD.JK,2023-03,-2.4390243902439024
WOOD.JK,2023-04,5.527638190954774
WOOD.JK,2023-05,-2.3923444976076556
WOOD.JK,2023-06,0.4975124378109453
WOOD.JK,2023-07,9.45273631840796
WOOD.JK,2023-08,4.545454545454546
WOOD.JK,2023-09,-1.3100436681222707
WOOD.JK,2023-10,-22.93577981651376
WOOD.JK,2023-11,-12.280701754385964
WOOD.JK,2023-12,-3.3557046979865772
WSKT.JK,2023-01,-6.593406593406594
